City,type,room_number,Area,Street,number_in_street,city_area,price
הוד-השרון,מגרש,-,125,הנחל,13,גיל עמל,369000
הוד-השרון,דירה,5,135,הפרדס,-,הדר,4790000
הוד-השרון,דו משפחתי,6,300,ביאליק,-,רמתיים,7900000
הוד-השרון,דירה,4,-,האודם,-,גרינפארק,3490000
הוד-השרון,דירה,4,118,הגאולה,18,רמתיים,3300000
הוד-השרון,דו משפחתי,7,300,משושים,9,רמת הדר,9380000
הוד-השרון,דירה,5,-,האלון,-,הדר,3365000
הוד-השרון,דירה,5,130,גרינברג,-,-,5400000
הוד-השרון,דירה,5,132,בן גמלא יהושע,-,מרכז העיר,4180000
הוד-השרון,דירה,3,100,הדרור,24,הדר,2970000
הוד-השרון,בית פרטי,6,200,הדר,-,-,13500000
הוד-השרון,דירה,4,-,מתחם,200,-,3530000
הוד-השרון,דירת גן,4,120,לוטם,34,הפרחים,4090000
הוד-השרון,דירה,4,112,הנחל,4,גיל עמל,3050000
הוד-השרון,דירה,4,90,סוקולוב,-,מגדיאל,3450000
הוד-השרון,מגרש,,419,חטיבת גבעתי,-,נווה הדר,4690000
הוד-השרון,דירה,4,85,ההסתדרות,8,רמתיים,3750000
הוד-השרון,דירה,4,102,אסירי ציון,11,מגדיאל,3600000
הוד-השרון,דירה,4.5,108,מגדיאל,-,-,2950000
הוד-השרון,דירה,3.5,-,מגדיאל,-,-,2790000
הוד-השרון,דירה,5,125,בני ברית,5,הדר,4150000
הוד-השרון,דירה,5,141,הרצוג חיים,7,מתחם 1200,4470000
הוד-השרון,דו משפחתי,6,330,הפרדס,-,הדר,8200000
הוד-השרון,דירה,4,140,גולדה מאיר,-,מתחם 1200,3890000
הוד-השרון,דירה,4,112,אסירי ציון,11,מגדיאל,3480000
הוד-השרון,בית פרטי,6,318,רמות מנחם,-,-,8880000
הוד-השרון,דירה,4,124,גולדה מאיר,-,מתחם 1200,3890000
הוד-השרון,דירה,4,101,רעות,27,מגדיאל,3190000
הוד-השרון,דירה,5,135,מתחם,1200,-,4550000
הוד-השרון,דירה,4,106,הגאולה,6,רמתיים,3200000
הוד-השרון,דירה,4,124,גולדה מאיר,-,מתחם 1200,3890000
הוד-השרון,דירה,4,142,גולדה מאיר,-,מתחם 1200,3890000
הוד-השרון,דירה,4,120,סתיו,5,מגדיאל,3620000
הוד-השרון,מגרש,5,153,אהובה עוזרי,1,גרינפארק,2500000
